Case_Number,Project_tech_ID,YK,Project_name,Business_names,Protype_names,Hardware_names,Duration,Size_ep99_proj,Worksup,SituCoeff,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,InpTot,InpFP,InqTot,InqFP,OutTot,OutFP,IntTot,IntFP,EntTot,EntFP,AlgTot,AlgFP,AllTot,AllFP_ep20
1,3474,H,PN100,W,N,M,7,290,2466,52,2,3,4,3,3,3,4,3,4,4,3,5,3,4,5,4,3,3,3,3,4,32,109,4,10,16,75,9,64,5,22,0,0,66,280
2,4144,H,PN101,W,N,M,6,328,2210,58,2,3,4,3,3,3,4,3,4,4,2,5,2,4,5,4,3,3,3,3,4,16,49,12,44,24,114,11,83,5,27,0,0,68,317
3,4254,H,PN102,W,N,M,3,150,531,64,1,3,4,3,3,3,4,3,4,4,4,5,3,4,5,4,3,1,3,3,4,7,22,7,19,6,25,9,51,5,22,0,0,34,139
4,4304,H,PN103,W,N,M,6,74,341,37,4,3,4,3,3,3,4,3,4,4,5,5,3,4,5,4,3,3,4,3,4,1,3,1,1,8,27,6,36,1,5,0,0,17,72
5,1346,C,PN104,C,N,C,8,149,682,45,4,5,4,3,2,3,3,5,3,3,2,5,4,3,3,2,4,4,4,4,4,10,28,5,14,0,0,2,10,1,5,0,0,18,57
6,1345,C,PN104,C,N,C,8,149,682,45,4,5,4,3,2,3,3,5,3,3,2,5,4,3,3,2,4,4,4,4,4,9,37,12,17,2,12,3,17,2,9,0,0,28,92
7,1785,C,PN105,C,N,C,35,349,579,141,1,3,2,4,2,3,3,3,2,2,5,3,3,2,3,3,2,2,4,2,3,4,12,21,78,5,16,14,44,11,84,5,15,60,249
8,1786,C,PN105,C,N,C,35,349,579,141,1,3,2,4,2,3,3,3,2,2,5,3,3,2,3,3,2,2,4,2,3,3,16,0,0,0,0,3,19,7,65,0,0,13,100
9,4826,C,PN106,C,D,C,5,70,457,73,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,15,3,8,0,0,3,15,0,0,0,0,10,38
10,4825,C,PN106,C,D,C,5,70,457,73,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,12,1,6,0,0,2,14,0,0,0,0,5,32
11,2664,AB,PN107,P,N,N,27,2327,18520,157,5,4,5,3,3,1,5,5,1,1,1,1,5,1,2,3,2,1,2,3,2,106,478,6,22,18,126,0,0,148,1130,10,53,288,1809
12,1704,F,PN108,I,N,M,17,692,9143,149,3,4,3,3,3,4,3,3,1,1,2,3,5,3,3,4,3,1,1,3,3,51,189,55,154,9,73,1,2,22,152,13,15,151,585
13,2044,F,PN109,I,N,M,43,2013,4284,147,3,4,2,3,3,4,3,3,1,1,1,2,4,3,3,3,3,3,3,3,3,87,595,48,196,19,136,5,53,42,474,117,349,318,1803
14,2134,F,PN110,I,N,N,6,193,608,71,1,4,4,3,3,5,1,4,3,3,5,5,5,4,3,3,3,1,1,3,5,11,39,18,71,4,18,1,5,6,40,1,3,41,176
15,1864,A,PN111,B,N,M,15,104,1454,105,2,3,2,3,3,2,3,4,2,3,3,5,2,4,3,2,3,3,4,3,3,12,48,0,0,3,21,2,18,2,4,5,13,24,104
16,1886,A,PN112,B,N,C,12,262,4161,183,3,2,2,3,3,3,2,3,1,2,3,5,3,2,2,2,3,3,3,2,3,17,58,0,0,4,21,11,89,7,37,1,1,40,206
17,1885,A,PN112,B,N,C,12,262,4161,183,3,2,2,3,3,3,2,3,1,2,3,5,3,2,2,2,3,3,3,2,3,3,11,1,1,0,0,3,24,4,20,0,0,11,56
18,1904,A,PN113,B,D,M,5,321,420,39,4,2,5,4,3,4,5,4,3,3,5,3,2,3,5,5,2,3,3,3,4,23,86,0,0,10,20,30,150,13,65,0,0,76,321
19,1974,A,PN114,B,D,M,5,40,257,127,2,2,2,3,3,3,2,3,2,3,3,5,5,3,2,3,2,4,2,3,4,6,22,0,0,0,0,1,5,1,13,0,0,8,40
20,2076,A,PN115,B,N,C,23,406,5486,142,3,2,3,2,3,4,3,3,2,3,2,4,3,3,3,2,3,3,2,3,3,9,48,1,1,8,52,9,84,2,20,1,3,30,208
21,2075,A,PN115,B,N,C,23,406,5486,142,3,2,3,2,3,4,3,3,2,3,2,4,3,3,3,2,3,3,2,3,3,10,39,9,33,3,29,12,78,2,20,0,0,36,199
22,2085,A,PN116,B,O,C,10,107,1096,102,4,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,3,4,4,10,0,0,2,9,14,72,1,7,1,3,22,101
23,2086,A,PN116,B,O,C,10,107,1096,102,4,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,3,4,4,3,4,1,3,1,3,0,0,0,0,0,0,0,0,2,6
24,2214,A,PN117,B,N,P,8,316,1520,92,3,3,4,3,2,1,3,4,3,3,4,4,4,3,3,3,3,3,2,1,4,10,31,3,11,10,38,12,118,9,117,3,3,47,318
25,2304,A,PN118,B,N,M,2,85,162,70,3,3,2,2,3,3,2,3,2,3,4,3,5,3,4,4,5,3,3,4,3,21,26,0,0,0,0,1,5,19,54,0,0,41,85
26,2336,A,PN119,B,D,C,9,277,1411,61,5,3,2,4,3,3,3,3,3,4,4,5,4,4,2,2,4,4,2,4,3,22,67,0,0,0,0,14,56,4,8,0,0,40,131
27,2335,A,PN119,B,D,C,9,277,1411,61,5,3,2,4,3,3,3,3,3,4,4,5,4,4,2,2,4,4,2,4,3,18,38,23,49,0,0,14,59,0,0,0,0,55,146
28,2626,A,PN120,B,N,C,1,78,85,44,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,11,0,0,0,0,5,34,1,7,0,0,9,52
29,2625,A,PN120,B,N,C,1,78,85,44,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,5,13,0,0,0,0,1,13,0,0,0,0,6,26
30,2656,A,PN121,B,N,C,13,357,2352,113,5,2,4,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,3,4,15,62,0,0,13,55,17,81,5,39,8,27,58,264
31,2655,A,PN121,B,N,C,13,357,2352,113,5,2,4,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,3,4,8,30,0,0,0,0,8,38,0,0,7,25,23,93
32,2657,A,PN121,B,N,C,13,357,2352,113,5,2,4,3,2,3,3,3,2,3,2,3,4,3,3,3,3,2,3,3,4,10,39,4,10,0,0,6,28,4,14,0,0,24,91
33,2674,A,PN122,B,D,M,2,85,204,52,3,4,4,4,4,4,3,2,3,3,3,5,3,4,3,4,4,3,4,4,4,8,18,6,23,0,0,6,42,0,0,2,2,22,85
34,3009,A,PN123,B,N,C,18,1635,11487,105,3,4,2,2,3,3,4,3,1,3,3,3,1,3,3,2,4,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3449,A,PN124,B,N,C,4,51,190,89,3,3,3,3,3,3,3,3,3,3,3,5,4,2,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4449,A,PN125,B,N,M,8,222,731,47,2,3,2,4,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3564,O,PN126,M,N,M,4,293,1150,65,3,4,2,3,3,4,2,2,4,4,4,4,5,3,1,2,4,4,5,3,3,19,89,12,46,14,66,1,7,9,59,0,0,55,267
38,3574,O,PN127,M,N,M,9,118,1015,142,2,2,1,3,3,4,2,2,2,2,5,5,5,4,3,4,2,3,2,3,1,8,23,4,10,10,56,1,2,5,16,0,0,28,107
39,3584,O,PN128,M,N,M,3,92,250,45,4,3,3,3,3,3,4,2,4,4,4,5,5,2,3,4,4,4,4,3,4,5,22,4,18,3,17,0,0,3,24,0,0,15,81
40,3594,O,PN129,W,N,M,9,175,764,183,4,1,3,3,3,4,3,2,2,2,3,3,4,2,2,4,2,3,3,3,1,13,26,3,8,5,12,5,13,13,79,0,0,39,138
41,1394,W,PN130,M,N,I,9,767,1000,108,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,43,122,6,20,44,191,19,142,22,197,0,0,134,672
42,1664,W,PN131,M,N,N,0,300,615,90,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,10,39,8,28,13,65,1,7,14,110,0,0,46,249
43,1914,W,PN132,M,N,N,2,80,170,109,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,4,2,3,4,20,35,8,27,0,0,5,10,5,19,0,0,38,91
44,3044,W,PN133,M,N,N,10,1125,4706,64,3,5,5,3,3,2,3,4,4,4,3,2,4,3,3,3,2,3,3,3,3,82,256,79,206,20,152,3,12,44,349,0,0,228,975
45,3054,W,PN134,M,N,I,6,130,250,53,3,4,3,3,3,3,3,3,3,3,4,5,5,3,3,4,4,4,2,3,4,5,22,14,36,5,25,0,0,5,33,0,0,29,116
46,3064,W,PN135,M,N,P,7,480,2409,79,4,3,3,3,3,3,4,3,4,4,2,3,2,2,2,4,4,4,2,3,3,40,109,19,58,15,83,11,83,13,101,0,0,98,434
47,3854,W,PN136,M,N,M,8,786,2100,70,4,4,3,3,3,4,2,3,3,3,4,3,3,4,2,2,4,3,4,3,4,70,226,64,162,4,16,9,59,28,223,0,0,175,686
48,3864,W,PN137,M,N,M,8,232,2100,51,3,4,3,3,3,3,3,4,3,3,4,3,4,3,3,4,4,4,4,3,3,12,37,15,29,24,86,3,12,13,40,0,0,67,204
49,3874,W,PN138,M,N,M,3,235,580,108,2,2,3,3,3,4,2,3,3,3,3,4,4,3,4,4,3,2,2,3,3,10,26,19,30,9,44,4,20,11,80,0,0,53,200
50,3884,W,PN139,M,N,M,4,196,460,49,2,3,3,3,3,3,1,3,5,5,3,4,4,2,3,5,3,5,4,3,3,10,32,10,20,9,47,5,23,9,51,0,0,43,173
51,4324,W,PN140,M,N,A,12,273,582,125,1,4,4,3,2,2,3,3,2,3,2,3,3,4,4,4,3,3,2,2,2,18,52,47,104,4,16,0,0,17,96,5,5,91,273
52,4614,W,PN141,M,N,M,14,292,1556,68,2,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,4,4,3,3,16,49,28,32,28,104,5,16,10,62,0,0,87,263
53,1414,B,PN142,A,P,A,7,170,708,88,3,4,3,4,2,3,3,3,3,4,2,4,4,2,4,4,3,2,3,3,3,13,46,7,24,10,28,4,26,6,43,3,3,43,170
54,1764,B,PN143,T,N,N,3,616,772,122,2,3,2,3,3,3,3,3,2,3,3,1,5,4,3,3,3,2,3,3,4,59,188,20,78,0,0,0,0,72,309,12,41,163,616
55,1844,B,PN144,W,N,C,5,586,1250,139,3,2,1,1,3,4,3,3,2,3,3,3,5,3,3,3,3,3,3,3,3,26,150,15,62,2,10,0,0,30,158,47,206,120,586
56,1854,B,PN145,M,N,N,5,359,955,65,4,4,2,2,4,3,3,3,3,4,3,4,4,2,3,4,4,4,3,4,3,26,109,23,92,6,30,2,10,12,76,9,42,78,359
57,2366,B,PN146,B,P,A,5,158,217,37,4,4,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,8,0,0,0,0,3,15,4,20,4,4,13,47
58,2365,B,PN146,B,P,A,5,158,217,37,4,4,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,8,28,2,8,3,10,6,12,7,39,8,8,34,105
59,2504,B,PN147,P,N,N,23,2471,13000,207,4,2,4,3,3,2,3,4,1,2,2,1,3,2,1,2,2,3,1,4,4,259,1042,101,225,86,656,7,43,81,489,16,16,550,2471
60,2514,B,PN148,P,N,N,5,513,1795,150,3,2,3,4,3,3,4,3,3,3,3,3,5,3,2,3,3,2,2,1,2,40,294,15,103,1,11,0,0,24,105,0,0,80,513
61,2524,B,PN149,W,N,C,10,694,6337,125,4,3,2,1,3,3,4,3,3,3,2,1,4,1,2,2,4,5,2,2,4,51,198,17,43,10,63,2,12,60,348,7,30,147,694
62,2534,B,PN150,A,P,A,20,705,6820,132,4,3,2,1,3,3,4,3,3,3,2,1,3,1,2,2,4,5,2,2,4,51,198,17,43,11,74,2,12,60,348,7,30,148,705
63,2544,B,PN151,M,D,C,4,255,793,60,4,4,4,4,3,4,4,3,3,3,3,2,5,2,3,4,4,3,3,4,3,42,84,10,18,5,26,3,19,13,74,10,34,83,255
64,2554,B,PN152,M,D,C,4,83,353,71,4,4,4,4,3,2,2,3,3,3,3,2,4,2,3,5,4,3,3,3,3,21,51,3,3,4,13,0,0,1,2,5,14,34,83
65,2564,B,PN153,M,N,N,22,1314,8607,157,3,3,2,3,3,2,3,3,1,2,1,2,5,3,2,4,3,3,2,3,3,156,445,28,71,7,49,2,12,34,257,48,480,275,1314
66,2574,B,PN154,A,P,A,18,892,6151,152,3,3,3,1,3,2,3,3,1,2,2,2,4,3,3,3,3,3,3,3,3,54,246,34,46,6,34,2,9,51,287,27,270,174,892
67,2584,B,PN155,A,P,A,19,331,2656,141,1,3,1,1,3,3,3,4,1,2,3,3,3,3,3,2,4,3,3,4,3,32,121,27,85,0,0,12,48,10,71,1,6,82,331
68,2594,B,PN156,A,P,A,9,459,4419,122,3,3,2,3,3,2,3,3,3,4,4,2,2,2,3,4,3,4,1,2,3,41,196,18,65,5,29,10,54,38,115,0,0,112,459
69,2734,B,PN157,M,N,N,12,1120,8775,142,3,3,2,3,3,3,3,3,2,3,2,1,2,2,2,3,4,4,1,4,3,108,463,22,66,10,41,11,36,78,414,28,93,257,1113
70,3404,B,PN158,M,C,P,9,816,1839,77,2,3,3,3,3,3,2,3,4,4,2,3,1,4,3,2,3,5,3,4,4,83,331,24,47,16,70,48,202,24,142,0,0,195,792
71,4854,B,PN159,O,N,N,5,238,764,111,3,3,3,4,3,3,3,3,3,2,3,3,4,2,3,2,4,4,1,4,2,32,110,1,3,1,5,2,14,15,86,2,20,53,238
72,1834,L,PN160,I,N,M,12,703,6290,104,3,3,2,3,3,3,2,3,3,3,3,2,4,3,3,3,3,3,4,3,4,27,123,20,79,5,51,4,17,35,267,5,50,96,587
73,3274,L,PN161,I,N,M,16,370,3810,122,3,3,2,3,3,4,3,3,2,2,3,4,5,3,2,3,2,3,3,3,3,20,93,24,102,24,114,0,0,7,23,0,0,75,332
74,3284,L,PN162,I,N,M,8,845,6300,136,2,3,3,3,3,3,3,3,2,2,2,4,4,3,3,3,3,2,3,3,2,19,86,27,228,39,379,4,8,12,83,0,0,101,784
75,3294,L,PN163,I,N,M,8,129,918,77,5,3,3,3,3,4,3,3,3,3,3,5,5,2,3,3,3,4,2,3,3,7,27,11,42,3,14,0,0,5,16,2,20,28,119
76,3484,L,PN164,I,N,M,31,546,3600,64,2,3,2,3,3,4,3,3,3,3,3,3,4,3,4,5,4,3,5,3,3,52,162,48,77,4,10,2,10,32,202,0,0,138,461
77,3514,L,PN165,I,N,M,24,417,10475,101,2,3,4,3,3,3,2,3,3,3,3,3,4,3,2,3,4,2,3,3,3,21,48,33,85,10,98,5,13,19,119,0,0,88,363
78,3534,L,PN166,I,N,M,25,1171,16310,127,3,2,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,4,3,3,30,118,35,146,38,124,6,30,51,522,0,0,160,940
79,3544,L,PN167,I,N,M,26,1004,10550,66,4,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,4,3,3,3,33,183,20,118,63,367,0,0,32,235,0,0,148,903
80,3554,L,PN168,I,N,M,0,2105,51100,121,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,3,3,3,4,3,3,49,295,77,274,100,500,21,154,61,607,0,0,308,1830
81,4444,L,PN169,I,N,M,13,176,3600,83,3,3,3,3,3,3,3,3,2,2,4,4,4,2,2,3,4,4,4,3,3,12,46,9,27,8,34,3,14,7,35,0,0,39,156
82,4714,L,PN170,I,N,M,10,203,2600,99,3,3,3,3,3,3,3,3,3,3,2,4,4,2,2,3,3,3,4,3,4,7,19,8,48,5,28,4,14,7,52,2,16,33,177
83,3684,P,PN171,I,N,M,10,206,2532,116,2,3,2,3,3,3,2,2,3,3,2,3,3,2,4,3,3,4,5,3,3,5,22,5,15,3,11,6,34,13,87,0,0,32,169
84,3694,P,PN172,I,N,M,7,128,2525,125,3,3,3,3,3,3,2,3,2,2,1,4,5,2,4,3,3,2,4,3,3,5,33,0,0,2,16,0,0,10,54,0,0,17,103
85,3304,AG,PN173,M,N,C,0,586,4479,94,3,3,3,3,3,3,3,3,3,3,2,5,1,4,3,3,3,3,3,3,4,57,174,52,156,0,0,31,155,5,44,8,36,153,565
86,1244,Q,PN174,B,N,P,14,562,1062,63,5,3,3,3,3,4,3,4,2,2,2,3,5,3,3,4,4,3,5,3,3,61,98,18,21,26,169,1,5,27,188,1,1,134,482
87,1274,Q,PN175,B,N,M,16,647,7871,92,4,3,5,3,3,3,3,3,1,1,2,4,2,2,1,2,4,4,4,3,5,19,131,5,32,14,74,25,277,10,50,6,60,79,624
88,1284,Q,PN176,B,N,M,5,130,845,60,2,3,3,3,3,3,3,3,4,4,4,5,3,2,3,2,4,4,4,3,4,8,20,4,21,6,30,8,22,3,11,5,13,34,117
89,1364,Q,PN177,B,N,M,8,254,2330,101,3,3,2,3,3,3,3,4,3,3,4,5,5,2,1,2,3,2,3,3,3,0,0,33,96,15,97,0,0,6,38,4,7,58,238
90,1374,Q,PN178,B,N,M,16,1056,21272,283,3,3,4,1,3,1,2,2,1,1,2,1,3,2,1,2,3,3,2,3,3,28,105,7,27,5,35,20,142,47,470,12,52,119,831
91,1384,Q,PN179,B,N,M,12,383,4224,130,3,3,3,3,3,2,3,3,1,1,2,5,1,1,1,2,4,5,4,3,4,11,52,6,18,7,42,30,218,0,0,12,53,66,383
92,1434,Q,PN180,B,N,C,12,345,2826,63,2,3,3,3,3,3,3,3,4,4,4,5,2,2,2,2,4,4,5,3,4,12,58,6,22,4,23,23,212,3,16,1,6,49,337
93,1454,Q,PN181,B,N,M,27,209,7320,123,4,3,5,3,3,2,3,2,1,1,3,5,3,1,1,3,4,4,2,3,3,5,27,2,6,7,34,6,40,5,35,13,52,38,194
94,1674,Q,PN182,B,N,M,24,366,9125,251,2,3,3,3,3,2,2,2,1,1,2,3,4,1,1,2,3,3,2,3,3,19,75,24,113,3,15,2,10,14,86,6,30,68,329
95,1734,Q,PN183,B,N,I,54,1181,11900,167,4,3,3,3,3,4,1,2,1,1,2,2,2,3,4,4,2,3,4,3,2,32,168,28,56,5,41,21,157,48,525,3,10,137,957
96,1774,Q,PN184,B,N,M,13,181,4300,215,2,3,2,3,3,2,3,3,1,1,2,4,5,1,1,2,3,2,3,3,3,4,20,13,54,0,0,1,5,9,63,3,12,30,154
97,1814,Q,PN185,B,N,N,21,739,4150,141,5,3,4,3,3,4,3,1,3,3,3,3,4,3,4,4,2,1,1,3,2,64,131,85,101,65,273,5,16,20,126,0,0,239,647
98,1824,Q,PN186,B,N,P,7,108,900,147,2,2,2,3,3,2,3,3,2,2,5,5,3,2,3,2,4,1,5,3,1,5,30,1,1,1,7,10,70,0,0,0,0,17,108
99,1874,Q,PN187,B,N,P,0,48,583,133,2,3,3,3,3,2,2,2,2,2,4,5,5,2,3,1,3,3,4,3,2,3,15,2,8,4,20,1,5,0,0,0,0,10,48
100,1954,Q,PN188,B,N,M,19,249,2565,147,2,3,2,3,3,2,3,3,1,1,3,4,4,2,3,3,4,2,4,3,3,9,35,32,100,5,25,5,21,7,33,8,17,66,231
101,1984,Q,PN189,B,N,M,11,371,4047,101,3,4,3,3,3,3,3,3,3,3,3,4,2,1,1,4,4,3,3,3,3,7,42,0,0,7,47,24,168,9,63,6,24,53,344
102,2034,Q,PN190,B,N,M,13,211,1520,186,2,3,2,3,3,2,3,3,1,1,2,4,4,1,1,2,4,3,3,3,3,3,12,0,0,6,36,2,14,10,72,10,45,31,179
103,2094,Q,PN191,B,N,M,32,1849,25910,162,4,1,3,3,3,3,3,4,1,1,2,3,1,2,2,2,4,3,3,3,4,70,579,3,23,22,125,67,748,29,149,24,155,215,1779
104,2104,Q,PN192,B,N,M,38,2482,37286,136,4,3,4,3,3,3,4,4,2,2,1,3,1,1,2,1,5,3,1,3,4,115,615,13,72,36,298,110,1107,26,189,37,121,337,2402
105,2114,Q,PN193,B,N,C,40,434,15052,228,3,2,3,3,3,2,3,2,1,1,2,3,2,1,1,2,4,4,2,3,3,9,41,7,29,3,19,15,115,20,140,7,28,61,372
106,2154,Q,PN194,B,N,M,29,292,11039,127,4,3,4,3,3,2,4,2,2,2,3,5,2,1,1,3,4,4,2,3,3,7,33,7,25,5,26,19,124,3,21,13,54,54,283
107,2184,Q,PN195,B,N,C,13,2954,18500,168,4,4,2,3,3,3,3,3,3,3,2,2,1,2,2,1,3,2,3,3,3,104,388,49,130,44,222,164,1655,51,377,4,19,416,2791
108,2194,Q,PN196,B,N,C,14,304,9369,149,4,3,2,3,3,2,3,3,2,2,2,5,2,1,2,3,4,2,4,3,3,19,86,6,23,8,30,15,130,2,14,3,15,53,298
109,2224,Q,PN197,B,N,N,28,353,7184,130,4,3,2,3,3,3,2,3,2,2,4,3,5,2,2,4,2,3,3,3,3,36,94,30,44,18,92,0,0,13,86,0,0,97,316
110,2314,Q,PN198,B,N,M,16,567,10447,238,2,2,2,3,3,2,3,3,2,2,2,4,2,1,1,1,4,2,2,3,4,31,149,7,16,7,41,24,219,12,75,11,35,92,535
111,2384,Q,PN199,B,N,M,45,3368,63694,172,4,3,3,3,3,2,3,3,1,1,2,1,1,2,2,2,4,4,2,3,4,112,543,95,370,34,216,91,658,92,958,38,200,462,2945
112,2394,Q,PN200,B,N,M,13,467,5100,120,4,3,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,3,10,49,7,25,13,74,22,193,14,78,5,16,71,435
113,2404,Q,PN201,B,N,M,4,253,1651,78,3,3,3,3,3,2,3,4,2,2,4,3,4,2,3,4,4,4,2,3,4,20,58,7,26,4,26,3,6,13,89,4,7,51,212
114,2464,Q,PN202,B,N,C,10,196,1450,65,1,4,2,3,3,3,3,4,3,3,4,4,4,4,3,4,4,2,4,3,3,19,47,7,19,1,4,5,19,12,74,0,0,44,163
115,2484,Q,PN203,B,N,M,12,185,1745,77,3,4,2,3,3,3,3,4,1,1,3,4,5,3,3,3,4,4,5,3,3,10,46,14,20,15,65,0,0,7,35,2,5,48,171
116,2604,Q,PN204,B,N,M,6,387,1798,185,2,4,3,3,3,2,2,2,1,1,2,3,4,1,1,2,4,3,3,3,4,10,38,15,47,8,40,2,12,21,152,8,31,64,320
117,2714,Q,PN205,B,N,M,28,430,2957,130,1,3,3,3,3,3,3,2,1,1,2,3,5,3,4,3,3,3,4,3,3,10,52,38,134,11,57,0,0,16,115,6,21,81,379
118,2854,Q,PN206,B,N,M,6,204,963,171,3,4,2,3,3,2,3,3,1,1,2,4,4,1,1,2,4,3,3,3,3,2,12,1,3,1,4,3,15,12,82,11,52,30,168
119,2874,Q,PN207,B,N,M,6,71,1233,162,3,3,3,3,3,2,3,3,1,1,2,5,4,1,1,2,4,2,4,3,3,2,8,3,9,2,10,2,12,3,17,2,8,14,64
120,2894,Q,PN208,B,N,C,5,840,3240,101,4,2,4,3,3,3,5,3,1,1,2,2,3,1,2,3,5,4,4,3,5,21,67,21,74,24,97,10,73,37,349,6,21,119,681
121,2904,Q,PN209,B,N,C,11,1648,10000,113,4,2,4,3,3,3,5,3,3,3,1,1,1,1,1,2,5,3,4,3,5,41,183,52,163,47,227,29,212,64,560,12,45,245,1390
122,2914,Q,PN210,B,N,C,8,1035,6800,88,4,2,4,3,3,3,5,3,3,3,1,2,2,1,1,2,5,3,4,3,5,26,91,28,82,29,143,25,178,36,354,6,21,150,869
123,2984,Q,PN211,B,N,M,22,548,3850,161,3,3,4,3,3,2,3,2,1,1,2,2,5,1,1,2,4,4,3,3,3,22,78,27,81,3,15,0,0,34,237,8,33,94,444
124,2994,Q,PN212,B,N,C,31,2054,14000,99,4,3,4,3,3,2,4,3,2,2,3,3,1,2,2,1,5,4,3,3,4,78,246,73,139,36,174,122,1334,18,101,6,12,333,2006
125,3014,Q,PN213,B,N,M,26,302,5768,129,2,3,2,3,3,2,3,3,2,2,3,3,5,3,3,3,3,2,4,3,3,6,30,15,49,10,62,0,0,13,90,6,32,50,263
126,3114,Q,PN214,B,N,C,22,1135,9700,91,4,2,2,3,3,3,4,4,4,4,2,3,1,2,4,2,3,4,3,3,4,30,162,11,38,26,132,53,644,31,104,3,22,154,1102
127,3124,Q,PN215,B,N,N,7,251,1100,82,3,3,3,3,3,4,2,3,3,3,3,3,4,2,3,3,4,4,4,3,3,20,50,8,18,6,30,2,4,19,90,4,14,59,206
128,3414,Q,PN216,B,N,M,14,227,5578,159,3,4,2,3,3,2,3,3,3,3,3,4,2,1,1,3,3,2,3,3,3,6,17,1,3,12,52,12,86,10,36,4,11,45,205
129,3424,Q,PN217,B,N,M,6,55,1060,72,4,3,3,3,3,3,3,3,3,3,4,5,4,2,3,3,4,3,3,3,3,3,10,0,0,2,14,5,35,0,0,0,0,10,59
130,3444,Q,PN218,B,N,M,6,299,5279,112,3,3,4,3,3,2,4,4,2,2,3,5,2,2,3,1,4,3,2,3,3,12,73,8,28,7,24,17,132,4,27,1,1,49,285
131,3754,Q,PN219,B,N,M,14,355,8217,124,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,2,4,3,2,3,4,17,47,43,119,6,28,6,32,18,122,6,20,96,368
132,3764,Q,PN220,B,N,N,8,1058,8710,90,4,4,3,3,3,1,4,4,3,3,1,3,2,2,2,3,5,2,4,3,4,38,138,45,145,69,274,17,170,28,229,0,0,197,956
133,3774,Q,PN221,B,N,N,9,65,796,105,4,2,2,3,3,3,3,2,2,2,2,5,5,2,2,3,4,4,5,3,3,7,15,1,4,6,38,0,0,2,4,0,0,16,61
134,3784,Q,PN222,B,N,C,26,374,11023,114,5,5,3,3,3,3,2,3,1,1,2,5,3,1,2,2,4,3,4,3,4,29,142,8,11,19,117,10,77,3,19,6,16,75,382
135,4364,Q,PN223,B,N,M,13,193,1755,65,4,4,2,3,3,3,4,3,4,4,4,4,4,3,3,3,3,2,4,3,4,15,46,5,17,8,46,5,16,9,43,0,0,42,168
